train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,time/total_timesteps,train/std,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1.4785044817021116,-2.621999176777899,0.8317819535732269,8540,-8.58293226,-0.005236342183889064,2030,1671168,0.894486129283905,204,0.15772705078125,0.016060742,0.2,100.0,195,0.00013370239999999998,0.19737975299358368,,,
1.7401069182611537,-2.6052235782146456,0.9144992381334305,8689,-8.67764302,-0.006570514796840144,2070,1703936,0.8917303085327148,208,0.12767333984375,0.012982618,0.2,100.0,196,0.0001304256,1.7067375183105469,,,
3.1073830717010424,-2.5986418094486,0.8423904776573181,8836,-8.6455347,-0.003958665197569644,2110,1736704,0.8889892101287842,212,0.1353515625,0.014536216,0.2,100.0,196,0.00012714879999999997,0.3509072959423065,,,
0.41325496282661334,-2.575493895076215,0.8271539211273193,8982,-7.8029885499999985,-0.005867572190982173,2150,1769472,0.8760983943939209,216,0.142431640625,0.016243558,0.2,100.0,196,0.000123872,0.10469083487987518,,,
0.469820158573566,-2.6028508400544523,0.8876307457685471,,,-0.005337391461216612,2190,1800000,0.8927358388900757,,0.1353759765625,0.01310252,0.2,,,0.0001205952,0.06966636329889297,0.0,-7.555326879999999,100.0
,,,9253,-8.158368379999999,,,1802240,,220,,,,100.0,194,,,,,
0.9283337610599119,-2.622357909567654,0.8493687212467194,9399,-8.30568,-0.00553975977236405,2230,1835008,0.9042479991912842,224,0.127001953125,0.013382279,0.2,100.0,195,0.0001173184,0.544991135597229,,,
0.2262335739680566,-2.617756334133446,0.9350564777851105,9546,-7.84674433,-0.0038599927765972097,2270,1867776,0.8945218324661255,228,0.11282958984375,0.012768621,0.2,100.0,195,0.00011404159999999998,0.10187647491693497,,,
0.23338912796461955,-2.5914740858599545,0.8709197044372559,9695,-8.531183460000001,-0.004970709169538168,2310,1900544,0.8825075626373291,232,0.13955078125,0.01368702,0.2,100.0,196,0.00011076479999999999,0.049292318522930145,,,
0.6115343169542029,-2.6139752050861715,0.9076329320669174,9844,-8.140291600000001,-0.005250425104532041,2350,1933312,0.8948954343795776,236,0.13980712890625,0.014048022,0.2,100.0,196,0.000107488,0.11128786206245422,,,
0.4986332217522431,-2.5839601626619695,0.9221097901463509,9990,-8.162194570000002,-0.0046156288819474865,2390,1966080,0.8801825642585754,240,0.113671875,0.011321109,0.2,100.0,196,0.00010421120000000001,0.06873734295368195,,,
0.6083622595120687,-2.5607025207951666,0.9045901149511337,10138,-8.02513686,-0.005594414321967634,2430,1998848,0.8730372786521912,244,0.12816162109375,0.012373334,0.2,100.0,197,0.00010093439999999998,0.10280320048332214,,,
1.218567712273216,-2.5641328869387507,0.8867495879530907,,,-0.007016188780107768,2440,2000000,0.8750286102294922,,0.11982421875,0.010798598,0.2,,,0.00010011519999999999,0.021970234811306,0.05,-7.990871399999999,100.0
0.37018818481010385,-2.5565688204020263,0.920321099460125,10409,-8.06762219,-0.006425256636066479,2470,2031616,0.8703012466430664,248,0.122509765625,0.013428474,0.2,100.0,195,9.765759999999999e-05,0.8862134218215942,,,
0.46999748102389277,-2.575618719495833,0.890483595430851,10556,-7.77949661,-0.008394098229473457,2510,2064384,0.8788487911224365,252,0.139794921875,0.014945531,0.2,100.0,195,9.43808e-05,0.1619883030653,,,
0.9607125432579778,-2.5621561286970973,0.7872633785009384,10703,-9.44468515,-0.0063870714533550196,2550,2097152,0.8710049390792847,256,0.12509765625,0.014086697,0.2,100.0,195,9.110399999999997e-05,0.050233498215675354,,,
0.7647784468194004,-2.5647793751209975,0.8532540947198868,10852,-7.78328934,-0.008341056611970998,2590,2129920,0.8724877834320068,260,0.11768798828125,0.011518878,0.2,100.0,196,8.782719999999998e-05,0.05277508497238159,,,
0.5925822425837396,-2.5560604564845564,0.9209479615092278,10999,-7.89504474,-0.008161664197905339,2630,2162688,0.8739993572235107,264,0.107763671875,0.010739877,0.2,100.0,196,8.45504e-05,0.009296022355556488,,,
0.2404334772611037,-2.5399183435365558,0.9302965849637985,11145,-7.9676965000000015,-0.007814421954026329,2670,2195456,0.8631978034973145,268,0.12540283203125,0.011298696,0.2,100.0,196,8.127360000000001e-05,0.013939537107944489,,,
0.10908489616558655,-2.5356242267414926,0.949050460010767,,,-0.0036118203395744787,2680,2200000,0.8591460585594177,,0.1005615234375,0.0097125545,0.2,,,8.045440000000001e-05,-0.02816290408372879,0.07,-8.31887986,100.0
0.6980588275881019,-2.534161157719791,0.9079783260822296,11415,-8.52409942,-0.0075264606057317,2710,2228224,0.8625653982162476,272,0.1014404296875,0.011002151,0.2,100.0,195,7.799679999999998e-05,0.0851968452334404,,,
0.18777102473832202,-2.546966858766973,0.9722961336374283,11563,-8.3328282,-0.007326250265396084,2750,2260992,0.8650139570236206,276,0.1305419921875,0.0122382175,0.2,100.0,195,7.471999999999999e-05,0.09486565738916397,,,
0.6087043778505177,-2.561977112479508,0.886472187936306,11709,-7.68578081,-0.005314982390700607,2790,2293760,0.8742395639419556,280,0.09591064453125,0.010350931,0.2,100.0,195,7.14432e-05,0.03838212788105011,,,
1.6664732499571984,-2.5778594303876163,0.8723515570163727,11857,-8.47110215,-0.00636015230211342,2830,2326528,0.8774756789207458,284,0.09013671875,0.0110517945,0.2,100.0,196,6.816640000000001e-05,0.5758547782897949,,,
1.0539835006668,-2.5910879731178285,0.9401187971234322,12005,-8.257354580000001,-0.007018656274885871,2870,2359296,0.8891827464103699,288,0.080029296875,0.008361744,0.2,100.0,196,6.488959999999998e-05,0.6285493969917297,,,
0.6381240394286578,-2.5910028224810957,0.7659091204404831,12150,-7.835917609999999,-0.0067715006316575455,2910,2392064,0.8862622976303101,292,0.09219970703125,0.008741712,0.2,100.0,196,6.16128e-05,0.0956801250576973,,,
0.597414489989751,-2.595040503330529,0.882905125617981,,,-0.00620224613994651,2920,2400000,0.8880623579025269,,0.10693359375,0.010688559,0.2,,,6.07936e-05,0.05186213552951813,0.09,-8.75944686,100.0
0.321318262067507,-2.569595963694155,0.9312438070774078,12421,-7.704270800000001,-0.007040482711818186,2950,2424832,0.872934103012085,296,0.09222412109375,0.009481123,0.2,100.0,195,5.8336000000000005e-05,0.017001409083604813,,,
