time/iterations,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,time/fps,train/n_updates,train/approx_kl,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/std,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
172,100.0,0.9988634437322617,0.00015991679999999997,0.2,192,1710,0.009025423,1409024,-15.372139610000001,-0.004589529602526454,0.025786146525206277,0.7605974674224854,7330,-2.233989437483251,-0.021887511014938354,0.08795166015625,,,
176,100.0,0.9990814768243581,0.00015664,0.2,193,1750,0.0077743763,1441792,-16.43481091,-0.00478021642411477,0.02096722499409225,0.7586138248443604,7463,-2.2399433495476844,-0.022156856954097748,0.081005859375,,,
180,100.0,0.999036951281596,0.0001533632,0.2,193,1790,0.008477854,1474560,-17.08966134,-0.005777385601686546,0.02256054836398107,0.7656490802764893,7606,-2.2552705850452184,-0.014852591790258884,0.08492431640625,,,
,,0.9993935721577145,0.00015008640000000001,0.2,,1830,0.00971419,1500000,,-0.005707315224572085,0.022583103046781617,0.7681909799575806,,-2.257611186988652,-0.030516570433974266,0.09443359375,0.0,-15.95510266,100.0
184,100.0,,,,192,,,1507328,-16.59363407,,,,7826,,,,,,
188,100.0,0.9993037772946991,0.00014680959999999998,0.2,193,1870,0.009954833,1540096,-16.057900359999998,-0.007491902812762419,0.019188043964823008,0.7839995622634888,7965,-2.3051291381940247,-0.03182061389088631,0.094677734375,,,
192,100.0,0.9991286455770023,0.00014353279999999998,0.2,194,1910,0.00917621,1572864,-16.15742865,-0.0051979774041683415,0.020440964701992925,0.7801398634910583,8100,-2.3057065160945056,-0.020526383072137833,0.09766845703125,,,
,,0.999392788624391,0.000140256,0.2,,1950,0.008246399,1600000,,-0.003054889907798497,0.017229455254710046,0.7827811241149902,,-2.3103533286601303,-0.011804059147834778,0.07890625,0.03,-15.495015630000001,100.0
196,100.0,,,,193,,,1605632,-16.18474299,,,,8315,,,,,,
200,100.0,0.9994211361627094,0.00013697919999999998,0.2,193,1990,0.0068914723,1638400,-15.50474156,-0.005591355120486696,0.022816336696996585,0.7766774892807007,8453,-2.294992296770215,-0.013999572023749352,0.0877685546875,,,
204,100.0,0.9993302467046306,0.00013370239999999998,0.2,194,2030,0.0070135593,1671168,-16.07053279,-0.004454047677791095,0.018676432438223856,0.7668960094451904,8589,-2.266547684557736,-0.03528831526637077,0.0720458984375,,,
,,0.9991349536576308,0.0001304256,0.2,,2070,0.007997828,1700000,,-0.0025206800368323457,0.022777133708223117,0.7674707174301147,,-2.276168456301093,-0.014331316575407982,0.067724609375,0.0,-15.556955659999998,100.0
208,100.0,,,,193,,,1703936,-16.332572289999998,,,,8800,,,,,,
212,100.0,0.9994682366959751,0.00012714879999999997,0.2,194,2110,0.009933678,1736704,-16.67394808,-0.006830530669685686,0.016103403560555306,0.7801312208175659,8933,-2.300132672674954,-0.0034998413175344467,0.100244140625,,,
216,100.0,0.9994364642188884,0.000123872,0.2,194,2150,0.008473965,1769472,-16.04011701,-0.00530803194269538,0.01852147679019254,0.7751101851463318,9075,-2.3029015896841885,-0.031166525557637215,0.07767333984375,,,
,,0.9993317236076109,0.0001205952,0.2,,2190,0.007816473,1800000,,-0.006009887788968627,0.016074543305876432,0.7804555892944336,,-2.3091470396146176,-0.04424688220024109,0.07791748046875,0.0,-17.00101368,100.0
220,100.0,,,,193,,,1802240,-16.188700439999998,,,,9290,,,,,,
224,100.0,0.9992658328264952,0.0001173184,0.2,194,2230,0.007227069,1835008,-16.73803768,-0.004516835195317981,0.022292523379292106,0.7920799255371094,9425,-2.3341035870835185,-0.028146274387836456,0.07808837890625,,,
228,100.0,0.9992262780433521,0.00011404159999999998,0.2,195,2270,0.007736418,1867776,-16.55658113,-0.004573593142413302,0.017756715300492942,0.8001831769943237,9565,-2.356050991266966,-0.02002444490790367,0.072314453125,,,
,,0.9993733856244944,0.00011076479999999999,0.2,,2310,0.008287013,1900000,,-0.006355093142337865,0.02023512340965681,0.7948236465454102,,-2.3467882465571166,-0.05069561302661896,0.08563232421875,0.01,-16.89894449,100.0
232,100.0,,,,194,,,1900544,-15.918349410000001,,,,9781,,,,,,
236,100.0,0.9992042454541661,0.000107488,0.2,195,2350,0.0072177593,1933312,-16.62342705,-0.005899940007657279,0.022898915917176056,0.7889227867126465,9886,-2.3422712260857224,0.002286190167069435,0.069677734375,,,
240,100.0,0.9992297617136501,0.00010421120000000001,0.2,196,2390,0.0077225994,1966080,-16.35458438,-0.004992788169329287,0.023478370034717956,0.7943034172058105,9991,-2.3475804081186653,0.0029131658375263214,0.06868896484375,,,
244,100.0,0.9993041161214933,0.00010093439999999998,0.2,197,2430,0.008543584,1998848,-17.166333889999997,-0.006303161480536801,0.02062448202923406,0.7997660636901855,10097,-2.356471237167716,-0.03551511839032173,0.0826904296875,,,
,,0.9993441964616068,0.00010011519999999999,0.2,,2440,0.008223895,2000000,,-0.006255441049870569,0.025506100357597462,0.7978593707084656,,-2.357948085665703,-0.01424788311123848,0.09027099609375,0.0,-16.738601789999997,100.0
