train/n_updates,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/actor_loss,rollout/success_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
386112,0.001770549155480694,7877,0.0003,0.010887237847782671,197,1.4404677152633667,0.89,1554496,-0.3828790243715048,17024,,,
386672,0.001741858824971132,7888,0.0003,0.010487568120879587,197,1.4111602753400803,0.92,1556736,0.21918083587661386,17088,,,
387104,0.0017361893114866689,7897,0.0003,0.013008913840167224,197,1.4227036386728287,0.93,1558464,0.6406490411609411,17152,,,
387792,0.0017903536499943584,7910,0.0003,0.010789736021251883,197,1.4042745530605316,0.89,1561216,0.3514064056798816,17216,,,
388384,0.001772949421138037,7922,0.0003,0.013808598756440915,197,1.4164282381534576,0.93,1563584,-0.07075389195233583,17280,,,
389008,0.0017791623249650002,7934,0.0003,0.008509320759912953,197,1.393112137913704,0.97,1566080,0.019379968754947186,17344,,,
389616,0.001822803205868695,7946,0.0003,0.015299072561901994,197,1.3926237598061562,0.93,1568512,-0.26394840609282255,17408,,,
390192,0.0017502258269814774,7958,0.0003,0.009737665619468316,197,1.4253199473023415,0.89,1570816,-0.07279327558353543,17472,,,
390720,0.0018170531548094004,7968,0.0003,0.008904711387003772,197,1.423998937010765,0.92,1572928,-0.844329466111958,17536,,,
391264,0.0018370528268860653,7979,0.0003,0.011874944575538393,197,1.379920355975628,0.97,1575104,-0.19158347137272358,17600,,,
391824,0.0017607622576178983,7990,0.0003,0.01125869038514793,197,1.3959994316101074,0.93,1577344,-0.5336968014016747,17664,,,
392272,0.0017972467685467564,8000,0.0003,0.012046447081957012,197,1.355509601533413,0.91,1579136,0.21831847727298737,17728,,,
392768,0.0018251811925438233,8009,0.0003,0.005655613866110798,197,1.417803555727005,0.95,1581120,0.45153677742928267,17792,,,
393264,0.0018269699503434822,8019,0.0003,0.008448938417132013,197,1.3702788650989532,0.98,1583104,0.7406295808032155,17856,,,
393824,0.0017790814308682457,8030,0.0003,0.008646231231978163,197,1.3751005977392197,0.98,1585344,-0.2254929430782795,17920,,,
394320,0.0018265072503709234,8040,0.0003,0.007459584769094363,197,1.394375167787075,0.97,1587328,0.1327148899435997,17984,,,
394832,0.0018671469661057927,8050,0.0003,0.011446397824329324,197,1.3733854740858078,0.93,1589376,0.4754002941772342,18048,,,
395312,0.0018157016093027778,8059,0.0003,0.009457558888243511,197,1.3631789088249207,0.92,1591296,0.014394442550837994,18112,,,
395872,0.001830726017942652,8070,0.0003,0.010838312562555075,197,1.3822116702795029,0.96,1593536,0.23534316895529628,18176,,,
396368,0.0018554932685219683,8081,0.0003,0.0067398772516753525,197,1.3813561797142029,0.96,1595520,-0.20976001676172018,18240,,,
396912,0.0017891133757075295,8092,0.0003,0.008723074795852881,197,1.3645056411623955,0.97,1597696,0.046198190189898014,18304,,,
397440,0.0018236562391393818,8103,0.0003,0.007353276043431833,197,1.3597515150904655,0.95,1599808,0.9181767599657178,18368,,,
397984,0.0018402743444312364,8114,0.0003,0.0074868869633064605,197,1.3773519396781921,0.94,1601984,-0.015687933657318354,18432,,,
398480,0.0018517486823839135,8124,0.0003,0.008422303159022704,197,1.359432801604271,0.98,1603968,0.4426932435017079,18496,,,
399040,0.0018517156277084723,8135,0.0003,0.009504574823949952,197,1.393022134900093,0.95,1606208,-0.1930158892646432,18560,,,
399680,0.0018431815333315171,8148,0.0003,0.009944554869434796,197,1.366108976304531,0.96,1608768,0.3424014253541827,18624,,,
400272,0.0017957588352146558,8159,0.0003,0.008435151321464218,197,1.365832194685936,0.92,1611136,-0.029142873361706734,18688,,,
400832,0.0018999613530468196,8170,0.0003,0.008040286964387633,197,1.365015059709549,0.91,1613376,0.272284141741693,18752,,,
401264,0.0018787441586027853,8179,0.0003,0.010613029466185253,197,1.3658157959580421,0.94,1615104,-0.08745046984404325,18816,,,
401792,0.0019165411504218355,8190,0.0003,0.009294839735957794,197,1.3517151847481728,0.96,1617216,0.08811948355287313,18880,,,
402304,0.0018546392602729611,8199,0.0003,0.009970523402444087,197,1.3490078672766685,0.94,1619264,-0.45922941993921995,18944,,,
402992,0.0019056817618547939,8212,0.0003,0.006365731285768561,197,1.3725459203124046,0.97,1622016,0.05925260204821825,19008,,,
403616,0.0018494361720513552,8224,0.0003,0.011462245864095166,197,1.35709697753191,0.96,1624512,-0.05799642577767372,19072,,,
404208,0.0019067235916736536,8236,0.0003,0.005920327574131079,197,1.3593869432806969,0.93,1626880,-0.9423374277539551,19136,,,
404624,0.0018409962867735885,8245,0.0003,0.009850884751358535,197,1.3287271708250046,0.95,1628544,-0.23180291801691055,19200,,,
405120,0.0018473397503839806,8255,0.0003,0.008660444123961497,197,1.318332627415657,0.93,1630528,0.545766169205308,19264,,,
405760,0.0017949353568837978,8267,0.0003,0.004712690373708028,197,1.3454713448882103,0.9,1633088,0.013464391231536865,19328,,,
406304,0.0017774768712115474,8279,0.0003,0.011089912928582635,197,1.3755659759044647,0.91,1635264,-0.12943830993026495,19392,,,
406992,0.0018608281679917127,8293,0.0003,0.00889345115137985,197,1.3277270048856735,0.96,1638016,0.8609018614515662,19456,,,
407600,0.001828012740588747,8304,0.0003,0.008129247202305123,197,1.3506612554192543,0.97,1640448,0.6743154432624578,19520,,,
408080,0.0018404869333608076,8314,0.0003,0.0073063076779362746,197,1.3303846791386604,0.92,1642368,0.8171660527586937,19584,,,
408560,0.0019016132573597133,8324,0.0003,0.01176115916314302,197,1.306490607559681,0.92,1644288,0.4721454745158553,19648,,,
409008,0.0018788570232572965,8333,0.0003,0.011151782469823956,197,1.3139522895216942,0.97,1646080,-0.0010832441039383411,19712,,,
409504,0.0018752585820038803,8342,0.0003,0.006873397243907675,197,1.347684070467949,0.95,1648064,-0.6836545234546065,19776,,,
